enqueue_latency_ns,dequeue_latency_ns
409.973,619.96
399.974,849.945
169.989,749.951
309.98,819.947
439.971,529.966
449.971,389.975
1239.92,679.956
429.972,699.954
419.973,499.967
399.974,749.951
309.98,1139.93
289.981,649.958
319.979,749.951
469.969,789.949
309.98,869.943
539.965,509.967
299.98,459.97
179.988,759.951
39.9974,709.954
529.966,679.956
479.969,679.956
389.975,699.954
439.971,1459.91
409.973,939.939
469.969,979.936
399.974,639.958
309.98,949.938
309.98,749.951
319.979,369.976
949.938,509.967
59.9961,629.959
49.9967,669.956
309.98,1059.93
469.969,1129.93
359.977,769.95
49.9967,809.947
429.972,659.957
369.976,599.961
1249.92,989.936
439.971,969.937
449.971,839.945
379.975,809.947
319.979,959.938
329.979,709.954
399.974,819.947
399.974,829.946
419.973,1349.91
389.975,699.954
399.974,699.954
539.965,619.96
309.98,659.957
469.969,739.952
389.975,1449.91
589.962,959.938
389.975,1059.93
679.956,1129.93
419.973,749.951
319.979,1119.93
429.972,1309.91
399.974,829.946
579.962,2029.87
329.979,909.941
409.973,389.975
299.98,629.959
449.971,509.967
169.989,799.948
389.975,819.947
609.96,1589.9
309.98,739.952
459.97,1159.92
989.936,1029.93
529.966,879.943
489.968,1379.91
419.973,759.951
349.977,889.942
529.966,679.956
319.979,439.971
379.975,509.967
499.967,739.952
289.981,719.953
299.98,779.949
389.975,929.94
379.975,739.952
559.964,1329.91
289.981,849.945
169.989,1009.93
319.979,789.949
679.956,879.943
539.965,1439.91
299.98,1329.91
439.971,1539.9
519.966,989.936
299.98,729.953
519.966,1049.93
169.989,1659.89
49.9967,729.953
419.973,1589.9
179.988,1019.93
369.976,589.962
309.98,1969.87
469.969,559.964
169.989,699.954
1269.92,1459.91
499.967,1769.88
529.966,1099.93
359.977,779.949
319.979,1119.93
419.973,1019.93
299.98,769.95
419.973,809.947
169.989,709.954
319.979,9449.39
489.968,2129.86
399.974,879.943
439.971,699.954
479.969,1349.91
399.974,689.955
169.989,1239.92
319.979,1509.9
379.975,799.948
339.978,1009.93
279.982,889.942
289.981,1239.92
499.967,1009.93
429.972,1089.93
329.979,819.947
499.967,2199.86
289.981,879.943
299.98,329.979
169.989,1569.9
429.972,989.936
389.975,409.973
399.974,909.941
399.974,759.951
1199.92,1329.91
509.967,299.98
499.967,1049.93
379.975,1019.93
389.975,2029.87
519.966,529.966
319.979,819.947
419.973,1019.93
319.979,1859.88
499.967,939.939
319.979,529.966
459.97,409.973
519.966,589.962
309.98,1769.88
639.958,839.945
389.975,939.939
169.989,879.943
329.979,539.965
599.961,1489.9
389.975,1319.91
399.974,1139.93
159.99,639.958
379.975,1009.93
199.987,1379.91
159.99,1179.92
299.98,879.943
179.988,439.971
539.965,949.938
469.969,1439.91
589.962,959.938
339.978,859.944
339.978,799.948
1119.93,919.94
499.967,699.954
159.99,799.948
399.974,649.958
409.973,1289.92
159.99,1009.93
509.967,949.938
399.974,1609.9
389.975,1189.92
399.974,339.978
459.97,499.967
439.971,489.968
429.972,619.96
419.973,1109.93
449.971,1019.93
289.981,1229.92
389.975,939.939
299.98,769.95
319.979,929.94
319.979,869.943
439.971,1189.92
329.979,839.945
479.969,1209.92
49.9967,909.941
609.96,999.935
599.961,669.956
349.977,1079.93
439.971,969.937
459.97,639.958
409.973,809.947
399.974,1339.91
329.979,1419.91
1159.92,849.945
419.973,769.95
379.975,749.951
409.973,1329.91
49.9967,1269.92
379.975,1079.93
299.98,709.954
519.966,779.949
399.974,1249.92
329.979,1359.91
319.979,919.94
709.954,1189.92
419.973,869.943
329.979,919.94
319.979,2479.84
39.9974,909.941
329.979,829.946
289.981,579.962
49.9967,759.951
479.969,899.941
49.9967,769.95
519.966,559.964
399.974,869.943
329.979,829.946
49.9967,1039.93
479.969,749.951
169.989,559.964
189.988,1189.92
339.978,1179.92
419.973,679.956
519.966,869.943
429.972,869.943
1299.92,1309.91
519.966,1239.92
439.971,859.944
319.979,1039.93
309.98,1189.92
309.98,579.962
359.977,1069.93
299.98,1159.92
519.966,1009.93
399.974,1139.93
369.976,629.959
169.989,1379.91
39.9974,809.947
499.967,999.935
529.966,819.947
579.962,709.954
279.982,599.961
299.98,709.954
399.974,419.973
319.979,979.936
609.96,839.945
319.979,1099.93
619.96,899.941
279.982,799.948
439.971,879.943
349.977,689.955
319.979,699.954
269.982,779.949
459.97,1279.92
509.967,979.936
619.96,859.944
399.974,1109.93
1089.93,1099.93
519.966,1089.93
529.966,659.957
449.971,769.95
309.98,1089.93
299.98,889.942
309.98,609.96
369.976,959.938
399.974,719.953
409.973,1329.91
229.985,809.947
319.979,1529.9
619.96,1189.92
499.967,959.938
299.98,799.948
389.975,729.953
399.974,1579.9
409.973,1449.91
319.979,1139.93
309.98,949.938
969.937,569.963
539.965,359.977
399.974,899.941
439.971,879.943
329.979,1079.93
459.97,759.951
479.969,1249.92
549.964,629.959
309.98,1769.88
349.977,1269.92
289.981,999.935
169.989,1279.92
969.937,899.941
499.967,589.962
489.968,759.951
489.968,1089.93
179.988,819.947
39.9974,879.943
159.99,459.97
489.968,609.96
389.975,959.938
259.983,959.938
189.988,879.943
519.966,1459.91
169.989,1159.92
409.973,1189.92
169.989,969.937
389.975,989.936
549.964,829.946
489.968,779.949
469.969,559.964
579.962,829.946
419.973,969.937
299.98,1659.89
629.959,1049.93
519.966,1279.92
159.99,809.947
149.99,979.936
359.977,509.967
479.969,1239.92
299.98,1249.92
499.967,649.958
319.979,739.952
599.961,1149.93
1149.93,969.937
609.96,929.94
409.973,889.942
469.969,959.938
419.973,839.945
359.977,629.959
289.981,1549.9
379.975,869.943
499.967,1399.91
389.975,1639.89
49.9967,1289.92
369.976,939.939
619.96,619.96
479.969,1679.89
169.989,679.956
239.984,1699.89
479.969,1569.9
399.974,899.941
399.974,1299.92
429.972,719.953
319.979,429.972
369.976,739.952
49.9967,679.956
669.956,869.943
409.973,979.936
229.985,969.937
519.966,1799.88
429.972,579.962
589.962,669.956
349.977,1099.93
339.978,1049.93
309.98,1389.91
1519.9,839.945
499.967,779.949
399.974,1549.9
309.98,1409.91
289.981,1869.88
289.981,1499.9
299.98,999.935
519.966,589.962
199.987,869.943
529.966,819.947
389.975,969.937
169.989,759.951
499.967,799.948
319.979,1539.9
219.986,869.943
299.98,849.945
309.98,809.947
479.969,559.964
469.969,1269.92
409.973,1429.91
299.98,889.942
359.977,699.954
319.979,839.945
369.976,659.957
399.974,999.935
569.963,1659.89
539.965,1159.92
579.962,999.935
319.979,879.943
469.969,489.968
389.975,859.944
379.975,1129.93
1759.89,1229.92
